Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing_Price_Diff,EMA_7,EMA_20,EMA_50,EMA_100,WMA_7,WMA_20,WMA_50,WMA_100,WMA7_WMA20,EMA20_EMA50,7_day_volatility,30_day_volatility,BB_upper,BB_middle,BB_lower,RSI,MACD,MACD_signal,ATR,Stoch_k,Stoch_d,Ichimoku_Span_A,Ichimoku_Span_B,log_return,14_day_rolling_mean,14_day_rolling_std,ROC,lag_1,lag_2,lag_3,day_sin,day_cos,month_sin,month_cos
2017-01-01,663.034,674.008,674.852,660.693,0.0,-1.350150572514028,-1.3549402172235474,-1.3645051539453812,-1.3676543671029635,-1.347372064396112,-1.34486062764178,-1.3431506039740606,-1.3348330923720935,-0.7662825661718753,-0.826107966891731,-0.774879101731866,-0.8468152221935237,0.0,0.0,0.0,-3.4985846349013356,-0.15589488109520191,-0.1619843672711109,-0.8357716912445144,-2.0083127223266044,-2.0555354528409455,0.0,0.0,-0.05755192171787681,-1.3443680985450586,-0.8161266607080917,-0.28775377655209405,0.0,0.0,0.0,0.279850111431131,1.4254692865657967,0.0049128015989315975,1.4209564910545467
2017-01-02,667.747,663.034,668.197,663.034,4.712999999999965,-1.350150572514028,-1.3549402172235474,-1.3645051539453812,-1.3676543671029635,-1.347372064396112,-1.34486062764178,-1.3431506039740606,-1.3348330923720935,-0.7662825661718753,-0.826107966891731,-0.774879101731866,-0.8468152221935237,0.0,0.0,0.0,-3.4985846349013356,-0.15589488109520191,-0.1619843672711109,-0.8357716912445144,-2.0083127223266044,-2.0555354528409455,0.0,0.0,0.10422492141951095,-1.3443680985450586,-0.8161266607080917,-0.28775377655209405,663.034,0.0,0.0,0.5504367761295533,1.3389897953697771,0.0049128015989315975,1.4209564910545467
2017-01-03,655.725,667.747,668.058,646.154,-12.021999999999936,-1.350150572514028,-1.3549402172235474,-1.3645051539453812,-1.3676543671029635,-1.347372064396112,-1.34486062764178,-1.3431506039740606,-1.3348330923720935,-0.7662825661718753,-0.826107966891731,-0.774879101731866,-0.8468152221935237,0.0,0.0,0.0,-3.4985846349013356,-0.15589488109520191,-0.1619843672711109,-0.8357716912445144,-2.0083127223266044,-2.0555354528409455,0.0,0.0,-0.4725036752194432,-1.3443680985450586,-0.8161266607080917,-0.28775377655209405,667.747,663.034,0.0,0.7983948525486616,1.1987966200071167,0.0049128015989315975,1.4209564910545467
2017-01-04,655.895,655.725,657.438,649.758,0.169999999999959,-1.350150572514028,-1.3549402172235474,-1.3645051539453812,-1.3676543671029635,-1.347372064396112,-1.34486062764178,-1.3431506039740606,-1.3348330923720935,-0.7662825661718753,-0.826107966891731,-0.774879101731866,-0.8468152221935237,0.0,0.0,0.0,-3.4985846349013356,-0.15589488109520191,-0.1619843672711109,-0.8357716912445144,-2.0083127223266044,-2.0555354528409455,0.0,0.0,-0.0516313371861026,-1.3443680985450586,-0.8161266607080917,-0.28775377655209405,655.725,667.747,663.034,1.0135729079060203,1.0106292855491619,0.0049128015989315975,1.4209564910545467
2017-01-05,661.284,655.895,664.918,653.583,5.38900000000001,-1.350150572514028,-1.3549402172235474,-1.3645051539453812,-1.3676543671029635,-1.347372064396112,-1.34486062764178,-1.3431506039740606,-1.3348330923720935,-0.7662825661718753,-0.826107966891731,-0.774879101731866,-0.8468152221935237,0.0,0.0,0.0,-3.4985846349013356,-0.15589488109520191,-0.1619843672711109,-0.8357716912445144,-2.0083127223266044,-2.0555354528409455,0.0,0.0,0.1293395575055557,-1.3443680985450586,-0.8161266607080917,-0.28775377655209405,655.895,655.725,667.747,1.187161527332951,0.7821913847773435,0.0049128015989315975,1.4209564910545467
2017-01-06,656.418,661.284,662.306,654.12799,-4.8659999999999854,-1.350150572514028,-1.3549402172235474,-1.3645051539453812,-1.3676543671029635,-1.347372064396112,-1.34486062764178,-1.3431506039740606,-1.3348330923720935,-0.7662825661718753,-0.826107966891731,-0.774879101731866,-0.8468152221935237,0.0,0.0,0.0,-3.4985846349013356,-0.15589488109520191,-0.1619843672711109,-0.8357716912445144,-2.0083127223266044,-2.0555354528409455,0.0,0.0,-0.22623851453089175,-1.3443680985450586,-0.8161266607080917,-0.28775377655209405,661.284,655.895,655.725,1.3120539723543185,0.5228351921895743,0.0049128015989315975,1.4209564910545467
2017-01-07,651.82899,656.418,657.72799,645.65,-4.58901000000003,-1.1724840842582946,-1.3549402172235474,-1.3645051539453812,-1.3676543671029635,-1.1708916769793418,-1.34486062764178,-1.3431506039740606,-1.3348330923720935,-0.7662825661718753,-0.826107966891731,-0.7577410282945299,-0.8468152221935237,0.0,0.0,0.0,-3.4985846349013356,-0.15589488109520191,-0.1619843672711109,-0.8357716912445144,-2.0083127223266044,-2.0555354528409455,0.0,0.0,-0.21778594366213694,-1.3443680985450586,-0.8161266607080917,-0.28775377655209405,656.418,661.284,655.895,1.3831371315967094,0.24317878078345584,0.0049128015989315975,1.4209564910545467
2017-01-08,657.91599,651.82899,660.51,648.92499,6.086999999999989,-1.1725468776909562,-1.3549402172235474,-1.3645051539453812,-1.3676543671029635,-1.1709542231468426,-1.34486062764178,-1.3431506039740606,-1.3348330923720935,-0.7662825661718753,-0.826107966891731,-0.7587631730123232,-0.8468152221935237,0.0,0.0,0.0,-3.4985846349013356,-0.15589488109520191,-0.1619843672711109,-0.8357716912445144,-2.0083127223266044,-2.0555354528409455,0.0,0.0,0.1547448443991305,-1.3443680985450586,-0.8161266607080917,-0.28775377655209405,651.82899,656.418,661.284,1.3975008521688228,-0.045328683099812216,0.0049128015989315975,1.4209564910545467
2017-01-09,656.427,657.91599,659.631,655.16099,-1.4889899999999443,-1.1726943539817436,-1.3549402172235474,-1.3645051539453812,-1.3676543671029635,-1.1710676587869706,-1.34486062764178,-1.3431506039740606,-1.3348330923720935,-0.7662825661718753,-0.826107966891731,-0.7659655353412179,-0.8468152221935237,0.0,0.0,0.0,-3.4985846349013356,-0.15589488109520191,-0.1619843672711109,-0.8357716912445144,-2.0083127223266044,-2.0555354528409455,660.251,0.0,-0.1093015156515214,-1.3443680985450586,-0.8161266607080917,-0.28775377655209405,657.91599,651.82899,656.418,1.3545570816627717,-0.33087566999066115,0.0049128015989315975,1.4209564910545467
2017-01-10,657.681,656.427,659.25299,655.385,1.254000000000019,-1.1727204219851792,-1.3549402172235474,-1.3645051539453812,-1.3676543671029635,-1.1709882966806928,-1.34486062764178,-1.3431506039740606,-1.3348330923720935,-0.7662825661718753,-0.826107966891731,-0.7659421145166784,-0.8468152221935237,0.0,0.0,0.0,-3.4985846349013356,-0.15589488109520191,-0.1619843672711109,-0.8357716912445144,-2.0083127223266044,-2.0555354528409455,656.9235,0.0,-0.01396157716873922,-1.3443680985450586,-0.8161266607080917,-0.28775377655209405,656.427,657.91599,651.82899,1.2560639430887517,-0.6017718526954337,0.0049128015989315975,1.4209564910545467
