Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing_Price_Diff,log_return,SMA_7,SMA_20,SMA_50,SMA_100,EMA_7,EMA_20,EMA_50,EMA_100,7_day_volatility,30_day_volatility,RSI,MACD,MACD_signal,ATR,Stoch_k,Stoch_d,BB_upper,BB_middle,BB_lower,Ichimoku_Span_A,Ichimoku_Span_B,SMA7_SMA20,EMA20_EMA50,14_day_rolling_mean,14_day_rolling_std,lag_1,lag_2,lag_3,day_sin,day_cos,month_sin,month_cos
2017-01-01,663.034,674.008,674.852,660.693,0.0,-0.05739338032808187,-0.8150138668782896,-0.8205560629556355,-0.840701056815738,-0.9106318988326834,-0.8161901186264567,-0.8230452444938148,-0.8498886471727009,-0.9109609638106643,-0.6517477644075439,-0.7175078329769046,-3.6201086960211457,-0.2816710499259392,-0.3022651524262068,-0.7083968701804959,-2.0891982274628744,-2.1429802587437163,0.0,0.0,0.0,0.0,0.0,-0.36208181129780004,-0.36041742669564086,-0.8176131955319175,-0.682621391812702,0.0,0.0,0.0,0.27981770919148286,1.4270644121999885,-0.030225172593025526,1.4543619082197508
2017-01-02,667.747,663.034,668.197,663.034,4.712999999999965,0.11425021995840583,-0.8150138668782896,-0.8205560629556355,-0.840701056815738,-0.9106318988326834,-0.8161901186264567,-0.8230452444938148,-0.8498886471727009,-0.9109609638106643,-0.6517477644075439,-0.7175078329769046,-3.6201086960211457,-0.2816710499259392,-0.3022651524262068,-0.7083968701804959,-2.0891982274628744,-2.1429802587437163,0.0,0.0,0.0,0.0,0.0,-0.36208181129780004,-0.36041742669564086,-0.8176131955319175,-0.682621391812702,663.034,0.0,0.0,0.5503024457714217,1.3405487200991195,-0.030225172593025526,1.4543619082197508
2017-01-03,655.725,667.747,668.058,646.154,-12.021999999999935,-0.4976530091781377,-0.8150138668782896,-0.8205560629556355,-0.840701056815738,-0.9106318988326834,-0.8161901186264567,-0.8230452444938148,-0.8498886471727009,-0.9109609638106643,-0.6517477644075439,-0.7175078329769046,-3.6201086960211457,-0.2816710499259392,-0.3022651524262068,-0.7083968701804959,-2.0891982274628744,-2.1429802587437163,0.0,0.0,0.0,0.0,0.0,-0.36208181129780004,-0.36041742669564086,-0.8176131955319175,-0.682621391812702,667.747,663.034,0.0,0.7981671181041889,1.2002968589170624,-0.030225172593025526,1.4543619082197508
2017-01-04,655.895,655.725,657.438,649.758,0.16999999999995907,-0.05111169980368698,-0.8150138668782896,-0.8205560629556355,-0.840701056815738,-0.9106318988326834,-0.8161901186264567,-0.8230452444938148,-0.8498886471727009,-0.9109609638106643,-0.6517477644075439,-0.7175078329769046,-3.6201086960211457,-0.2816710499259392,-0.3022651524262068,-0.7083968701804959,-2.0891982274628744,-2.1429802587437163,0.0,0.0,0.0,0.0,0.0,-0.36208181129780004,-0.36041742669564086,-0.8176131955319175,-0.682621391812702,655.725,667.747,663.034,1.0132641173816184,1.0120507563295051,-0.030225172593025526,1.4543619082197508
2017-01-05,661.284,655.895,664.918,653.583,5.38900000000001,0.14089659575665764,-0.8150138668782896,-0.8205560629556355,-0.840701056815738,-0.9106318988326834,-0.8161901186264567,-0.8230452444938148,-0.8498886471727009,-0.9109609638106643,-0.6517477644075439,-0.7175078329769046,-3.6201086960211457,-0.2816710499259392,-0.3022651524262068,-0.7083968701804959,-2.0891982274628744,-2.1429802587437163,0.0,0.0,0.0,0.0,0.0,-0.36208181129780004,-0.36041742669564086,-0.8176131955319175,-0.682621391812702,655.895,655.725,667.747,1.186787347180468,0.7835172298943593,-0.030225172593025526,1.4543619082197508
2017-01-06,656.418,661.284,662.306,654.12799,-4.8659999999999854,-0.2363681553884266,-0.8150138668782896,-0.8205560629556355,-0.840701056815738,-0.9106318988326834,-0.8161901186264567,-0.8230452444938148,-0.8498886471727009,-0.9109609638106643,-0.6517477644075439,-0.7175078329769046,-3.6201086960211457,-0.2816710499259392,-0.3022651524262068,-0.7083968701804959,-2.0891982274628744,-2.1429802587437163,0.0,0.0,0.0,0.0,0.0,-0.36208181129780004,-0.36041742669564086,-0.8176131955319175,-0.682621391812702,661.284,655.895,655.725,1.311632746084659,0.5240524690354297,-0.030225172593025526,1.4543619082197508
2017-01-07,651.82899,656.418,657.72799,645.65,-4.58901000000003,-0.22740006287621423,-0.7612999379590213,-0.8205560629556355,-0.840701056815738,-0.9106318988326834,-0.7623821418177458,-0.8230452444938148,-0.8498886471727009,-0.9109609638106643,-0.6434639028623177,-0.7175078329769046,-3.6201086960211457,-0.2816710499259392,-0.3022651524262068,-0.7083968701804959,-2.0891982274628744,-2.1429802587437163,0.0,0.0,0.0,0.0,0.0,-0.36208181129780004,-0.36041742669564086,-0.8176131955319175,-0.682621391812702,656.418,661.284,655.895,1.3826891287943426,0.24427899154809563,-0.030225172593025526,1.4543619082197508
2017-01-08,657.91599,651.82899,660.51,648.92499,6.086999999999989,0.16785134913270816,-0.7613595460421292,-0.8205560629556355,-0.840701056815738,-0.9106318988326834,-0.762401159402894,-0.8230452444938148,-0.8498886471727009,-0.9109609638106643,-0.643957966874375,-0.7175078329769046,-3.6201086960211457,-0.2816710499259392,-0.3022651524262068,-0.7083968701804959,-2.0891982274628744,-2.1429802587437163,0.0,0.0,0.0,0.0,0.0,-0.36208181129780004,-0.36041742669564086,-0.8176131955319175,-0.682621391812702,651.82899,656.418,661.284,1.3970474386526135,-0.04434924352732377,-0.030225172593025526,1.4543619082197508
2017-01-09,656.427,657.91599,659.631,655.16099,-1.4889899999999443,-0.11229917799277703,-0.7614913870312602,-0.8205560629556355,-0.840701056815738,-0.9106318988326834,-0.7624458239927806,-0.8230452444938148,-0.8498886471727009,-0.9109609638106643,-0.647439301725067,-0.7175078329769046,-3.6201086960211457,-0.2816710499259392,-0.3022651524262068,-0.7083968701804959,-2.0891982274628744,-2.1429802587437163,0.0,0.0,0.0,660.251,0.0,-0.36208181129780004,-0.36041742669564086,-0.8176131955319175,-0.682621391812702,657.91599,651.82899,656.418,1.3541198447668443,-0.330015762334463,-0.030225172593025526,1.4543619082197508
2017-01-10,657.681,656.427,659.25299,655.385,1.254000000000019,-0.011144464036716137,-0.7614686060264245,-0.8205560629556355,-0.840701056815738,-0.9106318988326834,-0.7624537189342413,-0.8230452444938148,-0.8498886471727009,-0.9109609638106643,-0.6474279810320808,-0.7175078329769046,-3.6201086960211457,-0.2816710499259392,-0.3022651524262068,-0.7083968701804959,-2.0891982274628744,-2.1429802587437163,0.0,0.0,0.0,656.9235,0.0,-0.36208181129780004,-0.36041742669564086,-0.8176131955319175,-0.682621391812702,656.427,657.91599,651.82899,1.2556638078744968,-0.6010253440289676,-0.030225172593025526,1.4543619082197508
