Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing_Price_Diff
2017-02-13,571.1,573.96,573.96,569.85749,-2.8600000000000136
2017-02-14,573.52125,571.1,576.26,570.29999,2.4212499999999864
2017-02-15,597.45375,573.52125,600.6025,573.41999,23.932500000000005
2017-02-16,607.0525,597.45375,613.39374,597.01125,9.598749999999995
2017-02-17,605.465,607.0525,608.93625,601.43875,-1.5874999999999773
2017-02-18,610.4325,605.465,612.45,605.29499,4.967499999999973
2017-02-19,614.67499,610.4325,616.32375,608.25,4.242489999999975
2017-02-20,624.6,614.67499,629.74875,614.13375,9.925010000000043
2017-02-21,621.59875,624.6,625.105,618.5425,-3.0012500000000273
2017-02-22,623.03375,621.59875,625.32,621.4025,1.4350000000000591
2017-02-23,605.8275,623.03375,629.5025,596.42875,-17.206250000000068
2017-02-24,608.03625,605.8275,608.97625,604.085,2.208750000000009
2017-02-25,607.885,608.03625,609.9475,606.16875,-0.15125000000000455
2017-02-26,607.8975,607.885,610.62625,607.7825,0.012500000000045475
2017-02-27,606.52125,607.8975,609.47125,605.6625,-1.3762500000000273
2017-02-28,607.04625,606.52125,609.54,605.99625,0.5249999999999773
2017-03-01,606.08,607.04625,607.825,604.46,-0.9662499999999454
2017-03-02,610.37249,606.08,610.58624,605.63874,4.29248999999993
2017-03-03,607.7175,610.37249,610.73749,607.1675,-2.654989999999998
2017-03-04,596.93375,607.7175,609.43625,591.86625,-10.78374999999994
2017-03-05,597.225,596.93375,597.92625,594.39125,0.2912499999999909
2017-03-06,596.0175,597.225,597.54625,594.74875,-1.2074999999999818
2017-03-07,603.4075,596.0175,603.61375,595.52625,7.389999999999986
2017-03-08,602.36875,603.4075,604.54499,600.63125,-1.03875000000005
2017-03-09,599.9075,602.36875,602.9775,598.65,-2.46124999999995
2017-03-10,606.0175,599.9075,608.55125,599.47875,6.110000000000014
2017-03-11,603.885,606.0175,608.3175,602.39374,-2.13250000000005
2017-03-12,604.58124,603.885,605.315,603.27374,0.6962399999999889
2017-03-13,605.52125,604.58124,607.02374,603.48375,0.9400100000000293
2017-03-14,611.58375,605.52125,612.39374,604.48249,6.0625
2017-03-15,614.23749,611.58375,616.09,611.57,2.6537399999999707
2017-03-16,612.88874,614.23749,614.38,609.275,-1.3487499999999955
2017-03-17,610.495,612.88874,613.61375,609.6325,-2.3937399999999798
2017-03-18,609.125,610.495,611.1575,608.68125,-1.3700000000000045
2017-03-19,611.57,609.125,613.785,608.91125,2.44500000000005
